Results: 	[0.9423]	
Results: 	[0.9423, 0.9711]	
Results: 	[0.9423, 0.9711, 0.9653]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941, 0.9631]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941, 0.9631, 0.915]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941, 0.9631, 0.915, 0.9541]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941, 0.9631, 0.915, 0.9541, 0.8827]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941, 0.9631, 0.915, 0.9541, 0.8827, 0.9485]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941, 0.9631, 0.915, 0.9541, 0.8827, 0.9485, 0.8433]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941, 0.9631, 0.915, 0.9541, 0.8827, 0.9485, 0.8433, 0.9506]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941, 0.9631, 0.915, 0.9541, 0.8827, 0.9485, 0.8433, 0.9506, 0.8356]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941, 0.9631, 0.915, 0.9541, 0.8827, 0.9485, 0.8433, 0.9506, 0.8356, 0.8903]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941, 0.9631, 0.915, 0.9541, 0.8827, 0.9485, 0.8433, 0.9506, 0.8356, 0.8903, 0.9189]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941, 0.9631, 0.915, 0.9541, 0.8827, 0.9485, 0.8433, 0.9506, 0.8356, 0.8903, 0.9189, 0.9443]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941, 0.9631, 0.915, 0.9541, 0.8827, 0.9485, 0.8433, 0.9506, 0.8356, 0.8903, 0.9189, 0.9443, 0.9578]	
Results: 	[0.9423, 0.9711, 0.9653, 0.9205, 0.9384, 0.867, 0.9164, 0.9489, 0.9596, 0.8969, 0.9724, 0.9339, 0.8957, 0.9683, 0.941, 0.9631, 0.915, 0.9541, 0.8827, 0.9485, 0.8433, 0.9506, 0.8356, 0.8903, 0.9189, 0.9443, 0.9578, 0.9732]	
