Results: 	[0.5251]	
Results: 	[0.5251, 0.5221]	
Results: 	[0.5251, 0.5221, 0.5096]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919, 0.5169]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919, 0.5169, 0.5449]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919, 0.5169, 0.5449, 0.5567]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919, 0.5169, 0.5449, 0.5567, 0.5575]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919, 0.5169, 0.5449, 0.5567, 0.5575, 0.5369]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919, 0.5169, 0.5449, 0.5567, 0.5575, 0.5369, 0.5434]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919, 0.5169, 0.5449, 0.5567, 0.5575, 0.5369, 0.5434, 0.5596]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919, 0.5169, 0.5449, 0.5567, 0.5575, 0.5369, 0.5434, 0.5596, 0.5265]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919, 0.5169, 0.5449, 0.5567, 0.5575, 0.5369, 0.5434, 0.5596, 0.5265, 0.5641]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919, 0.5169, 0.5449, 0.5567, 0.5575, 0.5369, 0.5434, 0.5596, 0.5265, 0.5641, 0.5206]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919, 0.5169, 0.5449, 0.5567, 0.5575, 0.5369, 0.5434, 0.5596, 0.5265, 0.5641, 0.5206, 0.5959]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919, 0.5169, 0.5449, 0.5567, 0.5575, 0.5369, 0.5434, 0.5596, 0.5265, 0.5641, 0.5206, 0.5959, 0.5493]	
Results: 	[0.5251, 0.5221, 0.5096, 0.5199, 0.5567, 0.4912, 0.5199, 0.517, 0.458, 0.5037, 0.5169, 0.5155, 0.4948, 0.5236, 0.5258, 0.4948, 0.4919, 0.5169, 0.5449, 0.5567, 0.5575, 0.5369, 0.5434, 0.5596, 0.5265, 0.5641, 0.5206, 0.5959, 0.5493, 0.5155]
30 Support Sets: (Mean:0.52581, SD:0.027523123193867866) | 	





