Results: 	[0.9254]	
Results: 	[0.9254, 0.9275]	
Results: 	[0.9254, 0.9275, 0.8967]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353, 0.9223]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353, 0.9223, 0.9321]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353, 0.9223, 0.9321, 0.9085]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353, 0.9223, 0.9321, 0.9085, 0.9335]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353, 0.9223, 0.9321, 0.9085, 0.9335, 0.9135]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353, 0.9223, 0.9321, 0.9085, 0.9335, 0.9135, 0.9233]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353, 0.9223, 0.9321, 0.9085, 0.9335, 0.9135, 0.9233, 0.9188]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353, 0.9223, 0.9321, 0.9085, 0.9335, 0.9135, 0.9233, 0.9188, 0.9315]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353, 0.9223, 0.9321, 0.9085, 0.9335, 0.9135, 0.9233, 0.9188, 0.9315, 0.9266]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353, 0.9223, 0.9321, 0.9085, 0.9335, 0.9135, 0.9233, 0.9188, 0.9315, 0.9266, 0.9155]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353, 0.9223, 0.9321, 0.9085, 0.9335, 0.9135, 0.9233, 0.9188, 0.9315, 0.9266, 0.9155, 0.8998]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353, 0.9223, 0.9321, 0.9085, 0.9335, 0.9135, 0.9233, 0.9188, 0.9315, 0.9266, 0.9155, 0.8998, 0.902]	
Results: 	[0.9254, 0.9275, 0.8967, 0.9396, 0.9251, 0.9319, 0.9232, 0.8992, 0.9251, 0.935, 0.9285, 0.9305, 0.931, 0.9247, 0.9267, 0.9249, 0.9353, 0.9223, 0.9321, 0.9085, 0.9335, 0.9135, 0.9233, 0.9188, 0.9315, 0.9266, 0.9155, 0.8998, 0.902, 0.9219]
30 Support Sets: (Mean:0.9226533333333333, SD:0.011362118954069998) | 	


































































































































