Results: 	[0.8068]	
Results: 	[0.8068, 0.7301]	
Results: 	[0.8068, 0.7301, 0.711]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175, 0.7015]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175, 0.7015, 0.6779]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175, 0.7015, 0.6779, 0.6816]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175, 0.7015, 0.6779, 0.6816, 0.7656]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175, 0.7015, 0.6779, 0.6816, 0.7656, 0.6727]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175, 0.7015, 0.6779, 0.6816, 0.7656, 0.6727, 0.6389]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175, 0.7015, 0.6779, 0.6816, 0.7656, 0.6727, 0.6389, 0.7311]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175, 0.7015, 0.6779, 0.6816, 0.7656, 0.6727, 0.6389, 0.7311, 0.7323]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175, 0.7015, 0.6779, 0.6816, 0.7656, 0.6727, 0.6389, 0.7311, 0.7323, 0.7566]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175, 0.7015, 0.6779, 0.6816, 0.7656, 0.6727, 0.6389, 0.7311, 0.7323, 0.7566, 0.698]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175, 0.7015, 0.6779, 0.6816, 0.7656, 0.6727, 0.6389, 0.7311, 0.7323, 0.7566, 0.698, 0.7524]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175, 0.7015, 0.6779, 0.6816, 0.7656, 0.6727, 0.6389, 0.7311, 0.7323, 0.7566, 0.698, 0.7524, 0.7153]	
Results: 	[0.8068, 0.7301, 0.711, 0.6969, 0.7328, 0.6867, 0.7142, 0.6075, 0.7412, 0.6926, 0.7233, 0.8025, 0.7175, 0.7881, 0.7534, 0.6674, 0.7175, 0.7015, 0.6779, 0.6816, 0.7656, 0.6727, 0.6389, 0.7311, 0.7323, 0.7566, 0.698, 0.7524, 0.7153, 0.7455]
30 Support Sets: (Mean:0.71863, SD:0.04433811429583293) | 	























